date,Portfolio Value
2018-01-01,100.0
2018-01-02,105.22621718358927
2018-01-03,100.48686756136608
2018-01-04,101.87686134732242
2018-01-05,106.17558404838215
2018-01-06,112.45797247356104
2018-01-07,117.0596897190274
2018-01-08,121.40936201584991
2018-01-09,132.0511033484333
2018-01-10,135.5682064388679
2018-01-11,121.77382594097598
2018-01-12,128.17356998083116
2019-01-01,114.74774325503941
2019-01-02,127.62518976607322
2019-01-03,140.1286404632393
2019-01-04,145.36543913004363
2019-01-05,152.48594061099746
2019-01-06,149.62897915349714
2019-01-07,160.85620980782127
2019-01-08,163.49358008070053
2019-01-09,164.0833147291964
2019-01-10,158.37389879126314
2019-01-11,159.69392016777942
2019-01-12,167.51591551534176
2020-01-01,170.31050325943818
2020-01-02,178.72416496204082
2020-01-03,178.0016387658403
2020-01-04,139.5794277698103
2020-01-05,171.18996335003328
2020-01-06,198.03225965389154
2020-01-07,211.81458291197694
2020-01-08,222.9118490593991
2020-01-09,246.6459972135524
2020-01-10,241.02321218101034
2020-01-11,233.03554893272326
2020-01-12,262.42902486747886
2021-01-01,271.47473383246927
2021-01-02,270.8301503549823
2021-01-03,305.39086461885717
2021-01-04,288.3650863085089
2021-01-05,298.2134122204851
2021-01-06,283.924288993005
2021-01-07,297.23039853354146
2021-01-08,299.6702090537354
2021-01-09,306.08328846052353
2021-01-10,305.22218639067233
2021-01-11,321.532913336435
2021-01-12,308.4131019072022
2022-01-01,317.34899594292494
2022-01-02,277.7547904933851
2022-01-03,267.3227469050003
2022-01-04,268.9284830635347
2022-01-05,250.13052909947834
2022-01-06,230.98420389962513
2022-01-07,220.31958879745005
2022-01-08,241.92981083293512
2022-01-09,231.90034363511805
2022-01-10,212.54535337304173
2022-01-11,221.28275860115195
2022-01-12,235.13570795858024
